month,lgoldf,wtioil
1,281.6499939,19.67000008
2,295.5,20.73999977
3,294.0499878,24.42000008
4,302.6799927,26.27000046
5,314.4899902,27.02000046
6,310.25,25.52000046
7,313.2900085,26.94000053
8,310.25,28.37999916
9,319.1600037,29.67000008
10,316.5599976,28.85000038
11,319.1499939,26.27000046
12,332.4299927,29.42000008
13,356.8599854,32.93999863
14,359.3200073,35.86999893
15,340.5499878,33.54999924
16,328.5799866,28.25
17,355.6799927,28.13999939
18,356.5299988,30.71999931
19,351,30.76000023
20,359.769989,31.59000015
21,378.9500122,28.29000092
22,378.9200134,30.32999992
23,389.9100037,31.09000015
24,407.5899963,32.15000153
25,413.9899902,34.27000046
26,405.3299866,34.74000168
27,406.6700134,36.75999832
28,403.019989,36.68999863
29,383.3999939,40.27999878
30,391.9899902,38.02000046
31,398.0899963,40.68999863
32,400.480011,44.93999863
33,405.25,45.95000076
34,423.3399963,53.13000107
35,439.3900146,48.45999908
36,441.7600098,43.33000183
37,424.1499939,46.84000015
38,423.3500061,47.97000122
39,434.25,54.31000137
40,428.9299927,53.04000092
41,421.8699951,49.83000183
42,430.6600037,56.25999832
43,424.480011,58.70000076
44,437.9299927,64.97000122
45,456.0499878,65.56999969
46,469.8999939,62.36999893
47,476.6700134,58.29999924
48,510.1000061,59.43000031
49,549.8599854,65.51000214
